TargetName	Module	CodeClass	GeneID	SystematicName	Negative
PAH	Hs_R_NGS_WTA_v1.0	Endogenous	5053	PAH	FALSE
PAX2	Hs_R_NGS_WTA_v1.0	Endogenous	5076	PAX2	FALSE
PAX6	Hs_R_NGS_WTA_v1.0	Endogenous	5080	PAX6	FALSE
PCBD1	Hs_R_NGS_WTA_v1.0	Endogenous	5092	PCBD1	FALSE
PCCA	Hs_R_NGS_WTA_v1.0	Endogenous	5095	PCCA	FALSE
PDE6B	Hs_R_NGS_WTA_v1.0	Endogenous	5158	PDE6B	FALSE
PDHA1	Hs_R_NGS_WTA_v1.0	Endogenous	5160	PDHA1	FALSE
PEPD	Hs_R_NGS_WTA_v1.0	Endogenous	5184	PEPD	FALSE
PEX12	Hs_R_NGS_WTA_v1.0	Endogenous	5193	PEX12	FALSE
PEX6	Hs_R_NGS_WTA_v1.0	Endogenous	5190	PEX6	FALSE
PEX7	Hs_R_NGS_WTA_v1.0	Endogenous	5191	PEX7	FALSE
PFKM	Hs_R_NGS_WTA_v1.0	Endogenous	5213	PFKM	FALSE
PGK1	Hs_R_NGS_WTA_v1.0	Endogenous	5230	PGK1	FALSE
PHKA2	Hs_R_NGS_WTA_v1.0	Endogenous	5256	PHKA2	FALSE
PHKB	Hs_R_NGS_WTA_v1.0	Endogenous	5257	PHKB	FALSE
PHKG2	Hs_R_NGS_WTA_v1.0	Endogenous	5261	PHKG2	FALSE
SERPINA1	Hs_R_NGS_WTA_v1.0	Endogenous	5265	SERPINA1	FALSE
PKD2	Hs_R_NGS_WTA_v1.0	Endogenous	5311	PKD2	FALSE
PKP1	Hs_R_NGS_WTA_v1.0	Endogenous	5317	PKP1	FALSE
PLA2G2A	Hs_R_NGS_WTA_v1.0	Endogenous	5320	PLA2G2A	FALSE
PLOD1	Hs_R_NGS_WTA_v1.0	Endogenous	5351	PLOD1	FALSE
PMM2	Hs_R_NGS_WTA_v1.0	Endogenous	5373	PMM2	FALSE
PMP22	Hs_R_NGS_WTA_v1.0	Endogenous	5376	PMP22	FALSE
PON2	Hs_R_NGS_WTA_v1.0	Endogenous	5445	PON2	FALSE
POU1F1	Hs_R_NGS_WTA_v1.0	Endogenous	5449	POU1F1	FALSE
POU3F4	Hs_R_NGS_WTA_v1.0	Endogenous	5456	POU3F4	FALSE
PRNP	Hs_R_NGS_WTA_v1.0	Endogenous	5621	PRNP	FALSE
PROC	Hs_R_NGS_WTA_v1.0	Endogenous	5624	PROC	FALSE
PROS1	Hs_R_NGS_WTA_v1.0	Endogenous	5627	PROS1	FALSE
PTH	Hs_R_NGS_WTA_v1.0	Endogenous	5741	PTH	FALSE
PTH1R	Hs_R_NGS_WTA_v1.0	Endogenous	5745	PTH1R	FALSE
PTS	Hs_R_NGS_WTA_v1.0	Endogenous	5805	PTS	FALSE
PEX2	Hs_R_NGS_WTA_v1.0	Endogenous	5828	PEX2	FALSE
QDPR	Hs_R_NGS_WTA_v1.0	Endogenous	5860	QDPR	FALSE
RB1	Hs_R_NGS_WTA_v1.0	Endogenous	5925	RB1	FALSE
PRPH2	Hs_R_NGS_WTA_v1.0	Endogenous	5961	PRPH2	FALSE
RHAG	Hs_R_NGS_WTA_v1.0	Endogenous	6005	RHAG	FALSE
PITX2	Hs_R_NGS_WTA_v1.0	Endogenous	5308	PITX2	FALSE
RLBP1	Hs_R_NGS_WTA_v1.0	Endogenous	6017	RLBP1	FALSE
ROM1	Hs_R_NGS_WTA_v1.0	Endogenous	6094	ROM1	FALSE
RPGR	Hs_R_NGS_WTA_v1.0	Endogenous	6103	RPGR	FALSE
RPE65	Hs_R_NGS_WTA_v1.0	Endogenous	6121	RPE65	FALSE
RS1	Hs_R_NGS_WTA_v1.0	Endogenous	6247	RS1	FALSE
ATXN1	Hs_R_NGS_WTA_v1.0	Endogenous	6310	ATXN1	FALSE
SCN4A	Hs_R_NGS_WTA_v1.0	Endogenous	6329	SCN4A	FALSE
SGCD	Hs_R_NGS_WTA_v1.0	Endogenous	6444	SGCD	FALSE
SLC12A1	Hs_R_NGS_WTA_v1.0	Endogenous	6557	SLC12A1	FALSE
SLC2A2	Hs_R_NGS_WTA_v1.0	Endogenous	6514	SLC2A2	FALSE
SLC3A1	Hs_R_NGS_WTA_v1.0	Endogenous	6519	SLC3A1	FALSE
SLC4A1	Hs_R_NGS_WTA_v1.0	Endogenous	6521	SLC4A1	FALSE
SLC5A1	Hs_R_NGS_WTA_v1.0	Endogenous	6523	SLC5A1	FALSE
SMN1	Hs_R_NGS_WTA_v1.0	Endogenous	6606, 6607	SMN2, SMN1	FALSE
SNCA	Hs_R_NGS_WTA_v1.0	Endogenous	6622	SNCA	FALSE
ABCA4	Hs_R_NGS_WTA_v1.0	Endogenous	24	ABCA4	FALSE
ABCC8	Hs_R_NGS_WTA_v1.0	Endogenous	6833	ABCC8	FALSE
SERPINA7	Hs_R_NGS_WTA_v1.0	Endogenous	6906	SERPINA7	FALSE
TCN2	Hs_R_NGS_WTA_v1.0	Endogenous	6948	TCN2	FALSE
TCOF1	Hs_R_NGS_WTA_v1.0	Endogenous	6949	TCOF1	FALSE
TH	Hs_R_NGS_WTA_v1.0	Endogenous	7054	TH	FALSE
THBD	Hs_R_NGS_WTA_v1.0	Endogenous	7056	THBD	FALSE
TIMP3	Hs_R_NGS_WTA_v1.0	Endogenous	7078	TIMP3	FALSE
TPI1	Hs_R_NGS_WTA_v1.0	Endogenous	7167	TPI1	FALSE
TPM1	Hs_R_NGS_WTA_v1.0	Endogenous	7168	TPM1	FALSE
TPMT	Hs_R_NGS_WTA_v1.0	Endogenous	7172	TPMT	FALSE
TSC1	Hs_R_NGS_WTA_v1.0	Endogenous	7248	TSC1	FALSE
TTR	Hs_R_NGS_WTA_v1.0	Endogenous	7276	TTR	FALSE
TYR	Hs_R_NGS_WTA_v1.0	Endogenous	7299	TYR	FALSE
UROS	Hs_R_NGS_WTA_v1.0	Endogenous	7390	UROS	FALSE
VDR	Hs_R_NGS_WTA_v1.0	Endogenous	7421	VDR	FALSE
WAS	Hs_R_NGS_WTA_v1.0	Endogenous	7454	WAS	FALSE
WT1	Hs_R_NGS_WTA_v1.0	Endogenous	7490	WT1	FALSE
XDH	Hs_R_NGS_WTA_v1.0	Endogenous	7498	XDH	FALSE
XPA	Hs_R_NGS_WTA_v1.0	Endogenous	7507	XPA	FALSE
MID1	Hs_R_NGS_WTA_v1.0	Endogenous	4281	MID1	FALSE
AIRE	Hs_R_NGS_WTA_v1.0	Endogenous	326	AIRE	FALSE
APOB	Hs_R_NGS_WTA_v1.0	Endogenous	338	APOB	FALSE
BLMH	Hs_R_NGS_WTA_v1.0	Endogenous	642	BLMH	FALSE
SLC25A20	Hs_R_NGS_WTA_v1.0	Endogenous	788	SLC25A20	FALSE
CASR	Hs_R_NGS_WTA_v1.0	Endogenous	846	CASR	FALSE
CDKN1A	Hs_R_NGS_WTA_v1.0	Endogenous	1026	CDKN1A	FALSE
CHM	Hs_R_NGS_WTA_v1.0	Endogenous	1121	CHM	FALSE
TPP1	Hs_R_NGS_WTA_v1.0	Endogenous	1200	TPP1	FALSE
COL5A2	Hs_R_NGS_WTA_v1.0	Endogenous	1290	COL5A2	FALSE
CRYAA	Hs_R_NGS_WTA_v1.0	Endogenous	1409, 102724652	CRYAA2, CRYAA	FALSE
CSF2RB	Hs_R_NGS_WTA_v1.0	Endogenous	1439	CSF2RB	FALSE
CTSK	Hs_R_NGS_WTA_v1.0	Endogenous	1513	CTSK	FALSE
CYBB	Hs_R_NGS_WTA_v1.0	Endogenous	1536	CYBB	FALSE
CYB5R3	Hs_R_NGS_WTA_v1.0	Endogenous	1727	CYB5R3	FALSE
EGR2	Hs_R_NGS_WTA_v1.0	Endogenous	1959	EGR2	FALSE
ERCC2	Hs_R_NGS_WTA_v1.0	Endogenous	2068	ERCC2	FALSE
G6PD	Hs_R_NGS_WTA_v1.0	Endogenous	2539	G6PD	FALSE
GLB1	Hs_R_NGS_WTA_v1.0	Endogenous	2720	GLB1	FALSE
GM2A	Hs_R_NGS_WTA_v1.0	Endogenous	2760	GM2A	FALSE
GNRHR	Hs_R_NGS_WTA_v1.0	Endogenous	2798	GNRHR	FALSE
GUCA1A	Hs_R_NGS_WTA_v1.0	Endogenous	2978	GUCA1A	FALSE
HLCS	Hs_R_NGS_WTA_v1.0	Endogenous	3141	HLCS	FALSE
HRG	Hs_R_NGS_WTA_v1.0	Endogenous	3273	HRG	FALSE
HSD17B4	Hs_R_NGS_WTA_v1.0	Endogenous	3295	HSD17B4	FALSE
IAPP	Hs_R_NGS_WTA_v1.0	Endogenous	3375	IAPP	FALSE
IFNGR1	Hs_R_NGS_WTA_v1.0	Endogenous	3459	IFNGR1	FALSE
IL2RA	Hs_R_NGS_WTA_v1.0	Endogenous	3559	IL2RA	FALSE
IL4R	Hs_R_NGS_WTA_v1.0	Endogenous	3566	IL4R	FALSE
ITGA2B	Hs_R_NGS_WTA_v1.0	Endogenous	3674	ITGA2B	FALSE
KEL	Hs_R_NGS_WTA_v1.0	Endogenous	3792	KEL	FALSE
KRT10	Hs_R_NGS_WTA_v1.0	Endogenous	3858	KRT10	FALSE
KRT17	Hs_R_NGS_WTA_v1.0	Endogenous	3872	KRT17	FALSE
KRT2	Hs_R_NGS_WTA_v1.0	Endogenous	3849	KRT2	FALSE
LAMA2	Hs_R_NGS_WTA_v1.0	Endogenous	3908	LAMA2	FALSE
LORICRIN	Hs_R_NGS_WTA_v1.0	Endogenous	4014	LORICRIN	FALSE
LTBP2	Hs_R_NGS_WTA_v1.0	Endogenous	4053	LTBP2	FALSE
MAT1A	Hs_R_NGS_WTA_v1.0	Endogenous	4143	MAT1A	FALSE
PAFAH1B1	Hs_R_NGS_WTA_v1.0	Endogenous	5048	PAFAH1B1	FALSE
MVK	Hs_R_NGS_WTA_v1.0	Endogenous	4598	MVK	FALSE
MYL2	Hs_R_NGS_WTA_v1.0	Endogenous	4633	MYL2	FALSE
NCF2	Hs_R_NGS_WTA_v1.0	Endogenous	4688	NCF2	FALSE
NEU1	Hs_R_NGS_WTA_v1.0	Endogenous	4758	NEU1	FALSE
NOTCH3	Hs_R_NGS_WTA_v1.0	Endogenous	4854	NOTCH3	FALSE
OXCT1	Hs_R_NGS_WTA_v1.0	Endogenous	5019	OXCT1	FALSE
PAFAH2	Hs_R_NGS_WTA_v1.0	Endogenous	5051	PAFAH2	FALSE
PCSK1	Hs_R_NGS_WTA_v1.0	Endogenous	5122	PCSK1	FALSE
PDE6A	Hs_R_NGS_WTA_v1.0	Endogenous	5145	PDE6A	FALSE
PHEX	Hs_R_NGS_WTA_v1.0	Endogenous	5251	PHEX	FALSE
PLEC	Hs_R_NGS_WTA_v1.0	Endogenous	5339	PLEC	FALSE
PON1	Hs_R_NGS_WTA_v1.0	Endogenous	5444	PON1	FALSE
PSEN2	Hs_R_NGS_WTA_v1.0	Endogenous	5664	PSEN2	FALSE
RAG1	Hs_R_NGS_WTA_v1.0	Endogenous	5896	RAG1	FALSE
RFX5	Hs_R_NGS_WTA_v1.0	Endogenous	5993	RFX5	FALSE
SHOX	Hs_R_NGS_WTA_v1.0	Endogenous	6473	SHOX	FALSE
SLC10A2	Hs_R_NGS_WTA_v1.0	Endogenous	6555	SLC10A2	FALSE
SLC5A5	Hs_R_NGS_WTA_v1.0	Endogenous	6528	SLC5A5	FALSE
STK11	Hs_R_NGS_WTA_v1.0	Endogenous	6794	STK11	FALSE
