Gene	logFC	AveExpr	t	P.Value	adj.P.Val	B	CellType
RBM3	0.8355855433192585	7.1912947248290875	4.425530419319895	1.530610924383839e-5	0.001408162050433132	2.823928597818578	glomeruli
THBD	0.9367418656930878	6.070414177446361	4.419305386416311	1.571563231356842e-5	0.0014326941894587644	2.787257620454554	glomeruli
SGCB	-0.6258490136980076	7.357565183294471	-4.413880141610248	1.6081099850399898e-5	0.0014528042279262179	2.750277827180124	glomeruli
CAVIN2	-0.8725799236616547	6.278227161018153	-4.402105959503799	1.6902528469610424e-5	0.0014999872167544542	2.7402079601525564	glomeruli
C4orf46	0.9261942961296388	8.581566042316949	4.408332053316002	1.6463272905482156e-5	0.0014740508990729918	2.6942326256386497	glomeruli
SH3BGRL2	-0.6525659044986416	6.774503914945637	-4.365735545650577	1.970200638722291e-5	0.0016886471799236866	2.5864394657994794	glomeruli
FAM20B	-0.6945061618025578	6.221615533881704	-4.349161314173978	2.112048183142865e-5	0.001794882981403106	2.5395114616533707	glomeruli
ENG	-0.7970406560998208	7.9063039881949	-4.367696550316413	1.9540351153672674e-5	0.0016886471799236866	2.5170633836644996	glomeruli
ALS2CL	-0.8108537998383172	8.212326882495166	-4.373318994094501	1.9083886671252608e-5	0.0016644326356077275	2.4966971483429443	glomeruli
ANXA2	-0.6558980944917155	8.839398570014456	-4.3732736065924644	1.908753022485926e-5	0.0016644326356077275	2.4928857386528236	glomeruli
NDUFB2	-0.7419168502814766	7.275995794154363	-4.334080370146648	2.2495811218028472e-5	0.0018867395669502456	2.4684964877598814	glomeruli
SLC11A1	0.9551281727197517	5.88369092777085	4.333019283328779	2.259574444193267e-5	0.0018867395669502456	2.4544197633964018	glomeruli
USP17L15	0.835033114584162	8.354506469849651	4.331223888584882	2.2765804507477035e-5	0.0018867395669502456	2.413154331161987	glomeruli
TAF15	-0.6500907088764618	6.869935868263903	-4.306878124544021	2.5196425863406263e-5	0.0020542256793352684	2.3696162578793665	glomeruli
YWHAQ	-0.5105118738652297	7.808885977046485	-4.312329898177859	2.4631435738740888e-5	0.0020246232589188	2.346603324766841	glomeruli
XRCC2	0.8460242526529028	7.203320246326356	4.291504940155183	2.6857251803951205e-5	0.0021539875554624052	2.311889869947768	glomeruli
ARPP19	-0.5310423690720378	7.800227300945721	-4.296576408224727	2.629810234727447e-5	0.0021267529866005517	2.2814820618357317	glomeruli
DST	-0.6727626719389	6.999342442035597	-4.280435515516417	2.8117506511793674e-5	0.0022028309007833357	2.2575299310484835	glomeruli
NECTIN2	-0.5479287642164593	7.695798170640354	-4.2896511847528345	2.7064462703257186e-5	0.0021539875554624052	2.2475369866336337	glomeruli
TUSC3	-0.6349260337606797	7.001975229242079	-4.271985104155081	2.9117490843249085e-5	0.0022460784475084755	2.229764475711449	glomeruli
GJA5	-0.7844388061893972	6.576052595527746	-4.260562473134727	3.0523421793321115e-5	0.0023365562881177415	2.193680443001348	glomeruli
FKBP5	-0.7627717736760994	7.560142157412225	-4.274173700960037	2.8855283810645667e-5	0.0022431068686291065	2.1896530083452124	glomeruli
ITGB8	-0.70821780328516	7.9889294009207665	-4.283975600630339	2.7708434553436386e-5	0.002187875446471339	2.1895377823085775	glomeruli
LILRB3	0.7982809177422208	6.5077419137566945	4.249335457171811	3.196843303948706e-5	0.002392383929253554	2.165766679681999	glomeruli
MYLK	-0.6464179209953553	7.271556128128989	-4.25660811844959	3.102509998060407e-5	0.0023569674439810426	2.1495190659613215	glomeruli
LILRB2	0.9042656561461723	6.133739069101831	4.24484037049542	3.2565144878717846e-5	0.002415922142060572	2.140529606718985	glomeruli
CLIP3	-0.6826459262738807	6.846628694739761	-4.243353931186152	3.2764799692883704e-5	0.002415922142060572	2.114665732275551	glomeruli
ZNF587	0.6456609440579149	8.432957713454794	4.250377145139931	3.183165208461682e-5	0.002392383929253554	2.0888776493455072	glomeruli
DHRS3	-0.6229261375911213	7.464708526439442	-4.217723596725121	3.6397178801796005e-5	0.002625833877873456	1.994611385659569	glomeruli
CAPN2	-0.6095889034781048	8.429380187810308	-4.230469046502528	3.454522369105275e-5	0.0025286095122180803	1.9730971929622791	glomeruli
DCBLD2	-0.6916659183798016	6.415610683653511	-4.153018053430491	4.735932481846377e-5	0.0033682220516280475	1.8071038346302855	glomeruli
CCDC91	-0.7210343972621734	6.203838203799957	-4.148142134804846	4.83022172973991e-5	0.003387235210198029	1.7955673585333152	glomeruli
LEPROT	-0.584038322874248	8.197970627918217	-4.168182134481625	4.453795378391097e-5	0.0031901900038932805	1.7552926067914196	glomeruli
B4GAT1	-0.6300227810437031	6.651887666241405	-4.141263179604034	4.9662975674089264e-5	0.003458474444859494	1.749704575567601	glomeruli
SELENOP	-0.6132711861753464	7.890181024152832	-4.150655677297378	4.7813939060126356e-5	0.003376606907710895	1.7313021191480127	glomeruli
SLK	-0.6215354486406433	6.752867864213595	-4.1283339759608575	5.232019047347127e-5	0.0036183922073653096	1.6977358913988123	glomeruli
ITM2B	-0.6066084332808588	11.208565600690694	-4.221393157949777	3.585446838079467e-5	0.0026054247023377464	1.6927707223793549	glomeruli
MAP1B	-0.6377630034213978	6.41286564034549	-4.124400904837163	5.315507017689133e-5	0.0036509523543415494	1.692226122288985	glomeruli
DDN	-0.7991224917452436	6.6847317446947745	-4.10510733789711	5.743801440540185e-5	0.0038144927712408594	1.6020253529235147	glomeruli
SRP14	-0.5514642869878367	7.9459620009678416	-4.106849892327949	5.703805780116833e-5	0.0038144927712408594	1.5621141804360237	glomeruli
USP17L3	0.8466481581562705	8.681127624792751	4.11042794691696	5.622512256503629e-5	0.0038096319532579994	1.5557279253687968	glomeruli
CPM	-0.7462021434849185	6.641746306010407	-4.084323144215527	6.24194327693668e-5	0.004118039946126383	1.5448025863015271	glomeruli
RPS19	0.539932549085096	8.938605309834859	4.110449484193669	5.6220262916114925e-5	0.0038096319532579994	1.5291096217842002	glomeruli
KIF5B	-0.597587239245231	6.601925054427025	-4.064965609206144	6.742720447667194e-5	0.004419346447660563	1.4811317229041308	glomeruli
ELOA2	0.867731949737028	7.128378993235308	4.061238557610218	6.843435460247405e-5	0.004456231869828635	1.4693823411973455	glomeruli
PPIA	-0.4160599051406472	9.445650832127857	-4.105791549070134	5.7280654189403976e-5	0.0038144927712408594	1.4628354399354198	glomeruli
HCK	0.7317360960765457	6.229910752501133	4.047626375050732	7.223587090520021e-5	0.0045866630316423835	1.4361571797870072	glomeruli
ACTR2	-0.5826253911087853	7.667735752911952	-4.056152647289172	6.983185121177163e-5	0.004488934640715679	1.393732218312997	glomeruli
NDRG2	-0.6366065430633959	7.300945388248641	-4.047518002355071	7.226692850014925e-5	0.0045866630316423835	1.3751697018920863	glomeruli
